municipio,comunidad,entrevistador,area_ejidatario,area_posesionario,area_propietario,area_total,area_rentada,area_ajena,cultivo_maiz,ha_maiz,ha_pastura,ha_vacantes,ultimo_ano_maiz,cambio_area_maiz,cambio_rendimiento_maiz,destino_tierra_donada,fertilizante,fertilizante_kg,herbicida,herbicida_lt,insecticida,insecticida_lt,fungicida,fungicida_lt,contratacion,familiares_trabajando,riego,labranza,variedad_maiz,variedad_numero,produccion_2009,rendimiento_2009,produccion_2008,rendimiento_2008,uso_domestico,uso_forraje,uso_venta,procampo,grano,grano_humano,grano_animal,grano_total,hari,hari_humano,hari_animal,hari_total,tortilla,tortilla_humano,tortilla_animal,tortilla_total,campesino,productor,agricultor,percepcion_comunidad,hijos_permanencia,maiz_10anos,ninos_mas_12,hombres_mas_12,mujeres_mas_12,total_personas_mas_12,estudiantes_mas_12,personas_contribuyendo,personas_cultivo,economia_separado,ingreso_maiz,ingreso_otros_cultivos,ingreso_gado,ingreso_trabajador_campo,ingreso_no_asalariado,ingreso_con_salario,ingreso_jubilacion,ingreso_remesas,ingreso_programas,ingreso_otros_apoyos,ingreso_otros,electricidad,internet,celular,automotor,tv,estufa,refrigerador,computadora,lavadora,personas_casa,sexo_jefe_familia,edad,escolaridad,lugar_trabajo,sector,pago,ingresos_extra,hr_no_agricultura,agricultura,hr_agricultura
almoloya,sanfrancisco,Tere,3,0,0,3,0,0,si,3,0,0,2009,sincambio,disminuyo,1,si,750,si,3,no,0,no,0,no,8,no,yunta,criollo,3,450,0.2,3500,1.2,0.57,0.14,0.29,si,si,9,10,19,no,0,0,0,no,0,0,0,si,no,si,campo,si,si,1,2,2,4,1,3,5,no,no,no,no,no,si,si,no,no,si,no,no,si,no,no,no,no,no,no,no,no,1,hombre,68,1,2,1,1,0,0,si,56
almoloya,sanfrancisco,Tere,0.5,1,0,1.5,0,0,no,0,0,1.5,2002,NA,NA,NA,si,1000,no,0,no,0,no,0,si,1,si,tractor,criollo,1,NA,NA,4800,3.2,0.63,0.13,0.25,no,si,3,0,3,no,0,0,0,no,0,0,0,si,NA,NA,campo,si,no,0,1,1,2,0,2,0,no,no,no,no,no,no,si,no,no,no,si,no,si,no,no,no,si,si,no,no,no,1,mujer,82,1,2,8,3,3,0,no,0
almoloya,sanfrancisco,Sonia,0,0,0.5,0.5,0,0,si,0.5,0,0,2009,sincambio,sincambio,1,si,1000,si,2,no,0,no,0,si,0,no,tractor,criollo,1,2000,4,2000,4,0.15,0.85,0,no,si,9,33,42,no,0,0,0,no,0,0,0,NA,si,si,ciudad,si,si,0,4,1,5,0,3,1,si,no,no,si,no,no,no,no,no,no,no,no,si,no,no,no,si,si,si,no,no,1,hombre,60,2,4,1,1,0,20,si,48
almoloya,sanfrancisco,Sonia,2,0,0,2,0,0,si,2,0,0,2009,sincambio,disminuyo,1,si,1500,si,6,si,6,no,0,si,12,no,tractor,criollo,1,3600,1.8,4200,2.1,1,0,0,si,si,37.5,0,37.5,no,0,0,0,no,0,0,0,si,no,si,otro,si,no,0,1,1,2,0,2,1,si,no,no,no,no,no,no,no,no,no,si,no,si,no,no,no,no,no,no,no,no,1,hombre,79,1,2,1,1,3,0,si,6
almoloya,sanfrancisco,Pepe,0,0,0.17,0.17,0,0,no,0,0,0.17,2005,sincambio,NA,1,si,100,no,0,no,0,no,0,no,5,no,tractor,criollo,2,NA,NA,720,4.2,1,0,0,no,si,2,0,2,no,0,0,0,no,0,0,0,si,no,no,ciudad,si,no,0,1,1,2,0,2,0,no,no,no,no,no,si,no,no,no,no,si,no,si,no,no,no,si,si,no,no,no,2,hombre,63,2,4,2,1,0,56,no,0
almoloya,sanfrancisco,Sonia,0,0,0.08,0.08,0,0,si,0.08,0,0,2009,sincambio,sincambio,1,si,120,no,0,no,0,no,0,no,1,no,manual,criollo,1,120,1.5,120,1.5,1,0,0,no,si,6,0,6,no,0,0,0,no,0,0,0,si,NA,NA,ciudad,si,no,1,3,2,5,0,3,2,no,no,no,si,no,no,si,no,no,no,no,no,si,no,no,no,si,si,no,no,no,1,hombre,64,0,2,1,1,0,0,si,60
almoloya,sanfrancisco,Pepe,0.5,0,0,0.5,0,0,no,0,0,0.5,2008,sincambio,sincambio,1,si,250,si,1,no,0,no,0,si,6,no,tractor,criollo,1,NA,NA,2450,4.9,1,0,0,si,si,13,0,13,no,0,0,0,no,0,0,0,si,no,si,ciudad,si,nose,0,1,3,4,0,4,0,no,no,no,no,no,si,si,no,no,si,no,no,si,no,si,no,si,si,si,no,no,2,hombre,61,0,2,3,1,0,0,no,0
almoloya,sanfrancisco,Pepe,2.5,0,0,2.5,0,0,si,2.5,0,0,2009,disminuyo,disminuyo,2,si,650,si,1,no,0,no,0,si,9,no,tractor,criollo,2,2310,0.9,1200,0.5,1,0,0,no,si,6,0,6,no,0,0,0,no,0,0,0,si,no,no,ciudad,si,si,0,1,3,4,1,2,4,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,si,no,no,1,mujer,63,2,2,8,3,0,0,si,15
almoloya,sanfrancisco,Pepe,0,0,0.33,0.33,0,0,no,0,0,0.33,2001,sincambio,NA,1,si,NA,si,NA,no,0,no,0,si,4,no,tractor,criollo,2,NA,NA,NA,NA,1,0,0,no,no,0,0,0,no,0,0,0,si,6,0,6,si,si,no,otro,si,no,3,2,2,4,0,3,0,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,si,si,si,si,si,si,4,hombre,40,6,2,9,1,0,72,no,0
almoloya,sanfrancisco,Pepe,0.5,0,0,0.5,0,0,no,0,0,0.5,1999,NA,NA,1,si,150,no,0,no,0,no,0,no,10,si,yunta,criollo,1,NA,NA,1200,2.4,1,0,0,no,no,0,0,0,no,0,0,0,si,7,0,7,si,si,si,ciudad,si,nose,0,2,1,3,0,2,0,no,no,no,no,no,no,si,no,no,no,si,no,si,no,si,si,si,si,si,no,no,1,hombre,58,2,1,0,0,8,0,no,0
